timestamp,model,features,notes,feature,importance
2026-04-11 18:26:30,Random Forest,"netRatingDiff,restDiff",net & rest only,netRatingDiff,0.8836612637946265
2026-04-11 18:26:30,Random Forest,"netRatingDiff,restDiff",net & rest only,restDiff,0.11633873620537348
2026-04-11 18:27:12,Random Forest,b2bDiff,all combinations,b2bDiff,1.0
2026-04-11 18:27:17,Random Forest,defRatingDiff,all combinations,defRatingDiff,1.0
2026-04-11 18:27:21,Random Forest,netRatingDiff,all combinations,netRatingDiff,1.0
2026-04-11 18:27:26,Random Forest,offRatingDiff,all combinations,offRatingDiff,1.0
2026-04-11 18:27:27,Random Forest,restDiff,all combinations,restDiff,1.0
2026-04-11 18:27:31,Random Forest,"b2bDiff,defRatingDiff",all combinations,defRatingDiff,0.9657524454956177
2026-04-11 18:27:31,Random Forest,"b2bDiff,defRatingDiff",all combinations,b2bDiff,0.03424755450438225
2026-04-11 18:27:35,Random Forest,"b2bDiff,netRatingDiff",all combinations,netRatingDiff,0.9802672373106057
2026-04-11 18:27:35,Random Forest,"b2bDiff,netRatingDiff",all combinations,b2bDiff,0.01973276268939423
2026-04-11 18:27:38,Random Forest,"b2bDiff,offRatingDiff",all combinations,offRatingDiff,0.9739668573594367
2026-04-11 18:27:38,Random Forest,"b2bDiff,offRatingDiff",all combinations,b2bDiff,0.02603314264056333
2026-04-11 18:27:40,Random Forest,"b2bDiff,restDiff",all combinations,restDiff,0.8729800056519895
2026-04-11 18:27:40,Random Forest,"b2bDiff,restDiff",all combinations,b2bDiff,0.12701999434801053
2026-04-11 18:27:45,Random Forest,"defRatingDiff,netRatingDiff",all combinations,netRatingDiff,0.714420833008259
2026-04-11 18:27:45,Random Forest,"defRatingDiff,netRatingDiff",all combinations,defRatingDiff,0.28557916699174113
2026-04-11 18:27:49,Random Forest,"defRatingDiff,offRatingDiff",all combinations,offRatingDiff,0.5721600607447422
2026-04-11 18:27:49,Random Forest,"defRatingDiff,offRatingDiff",all combinations,defRatingDiff,0.4278399392552578
2026-04-11 18:27:53,Random Forest,"defRatingDiff,restDiff",all combinations,defRatingDiff,0.8032628373958344
2026-04-11 18:27:53,Random Forest,"defRatingDiff,restDiff",all combinations,restDiff,0.1967371626041656
2026-04-11 18:27:58,Random Forest,"netRatingDiff,offRatingDiff",all combinations,netRatingDiff,0.6438228359112333
2026-04-11 18:27:58,Random Forest,"netRatingDiff,offRatingDiff",all combinations,offRatingDiff,0.3561771640887666
2026-04-11 18:28:02,Random Forest,"offRatingDiff,restDiff",all combinations,offRatingDiff,0.8461091865327867
2026-04-11 18:28:02,Random Forest,"offRatingDiff,restDiff",all combinations,restDiff,0.1538908134672134
2026-04-11 18:28:05,Random Forest,"b2bDiff,defRatingDiff,netRatingDiff",all combinations,netRatingDiff,0.6875354953198752
2026-04-11 18:28:05,Random Forest,"b2bDiff,defRatingDiff,netRatingDiff",all combinations,defRatingDiff,0.29132166297962253
