model,features,notes,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,timestamp,train_size,test_size,num_features
Baseline 1 - Always Home Team,"netRatingDiff,b2bDiff,closeGame,netRating_b2b",Base features,0.545662100456621,0.545662100456621,1.0,0.7060561299852289,0.5,0,199,0,239,2026-04-28 12:54:28,1751,438,4
Baseline 2 - Weighted Random,"netRatingDiff,b2bDiff,closeGame,netRating_b2b",Base features,0.4680365296803653,0.5128205128205128,0.502092050209205,0.507399577167019,0.5,85,114,119,120,2026-04-28 12:54:28,1751,438,4
Logistic Regression,"netRatingDiff,b2bDiff,closeGame,netRating_b2b",Base features,0.6415525114155252,0.6553030303030303,0.7238493723849372,0.6878727634194831,0.6816719581169446,108,91,66,173,2026-04-28 12:54:28,1751,438,4
Random Forest,"netRatingDiff,b2bDiff,closeGame,netRating_b2b",Base features,0.6004566210045662,0.634453781512605,0.6317991631799164,0.6331236897274634,0.6546119719938606,112,87,88,151,2026-04-28 12:54:28,1751,438,4
XGBoost,"netRatingDiff,b2bDiff,closeGame,netRating_b2b",Base features,0.6301369863013698,0.6452830188679245,0.7154811715481172,0.6785714285714286,0.6745652950947205,105,94,68,171,2026-04-28 12:54:28,1751,438,4
Soft Voting Ensemble,"netRatingDiff,b2bDiff,closeGame,netRating_b2b",Base features,0.6210045662100456,0.6465863453815262,0.6736401673640168,0.6598360655737705,0.6734088854313408,111,88,78,161,2026-04-28 12:54:28,1751,438,4
Logistic Regression,"seasonWinPctDiff,absNetRatingDiff,defRatingDiff,fieldGoalPctDiff,benchPointsDiff,turnoversDiff,assistsDiff,freeThrowPctDiff",Current features,0.6666666666666666,0.6703296703296703,0.7656903765690377,0.71484375,0.7413006454868485,109,90,56,183,2026-04-28 12:54:28,1751,438,8
Random Forest,"seasonWinPctDiff,absNetRatingDiff,defRatingDiff,fieldGoalPctDiff,benchPointsDiff,turnoversDiff,assistsDiff,freeThrowPctDiff",Current features,0.6894977168949772,0.7154811715481172,0.7154811715481172,0.7154811715481172,0.733773469859759,131,68,68,171,2026-04-28 12:54:28,1751,438,8
XGBoost,"seasonWinPctDiff,absNetRatingDiff,defRatingDiff,fieldGoalPctDiff,benchPointsDiff,turnoversDiff,assistsDiff,freeThrowPctDiff",Current features,0.6894977168949772,0.6900369003690037,0.7824267782426778,0.7333333333333333,0.7259729610395071,115,84,52,187,2026-04-28 12:54:28,1751,438,8
Soft Voting Ensemble,"seasonWinPctDiff,absNetRatingDiff,defRatingDiff,fieldGoalPctDiff,benchPointsDiff,turnoversDiff,assistsDiff,freeThrowPctDiff",Current features,0.7031963470319634,0.704119850187266,0.7866108786610879,0.7430830039525692,0.7423098757385251,120,79,51,188,2026-04-28 12:54:28,1751,438,8
Logistic Regression,"netRatingDiff,b2bDiff,closeGame,netRating_b2b,offRatingDiff,defRatingDiff,restDiff,netRating_rest,absNetRatingDiff,absRating_b2b,close_b2b,fieldGoalPctDiff,threePointPctDiff,freeThrowPctDiff,reboundsTotalDiff,offensiveReboundsDiff,defensiveReboundsDiff,turnoversDiff,assistsDiff,stealsDiff,blocksDiff,benchPointsDiff,fastBreakPointsDiff,paintPointsDiff,secondChancePointsDiff,seasonWinPctDiff",Expanded rolling features,0.6689497716894978,0.6727941176470589,0.7656903765690377,0.7162426614481409,0.7140514286915751,110,89,56,183,2026-04-28 12:54:29,1751,438,26
Random Forest,"netRatingDiff,b2bDiff,closeGame,netRating_b2b,offRatingDiff,defRatingDiff,restDiff,netRating_rest,absNetRatingDiff,absRating_b2b,close_b2b,fieldGoalPctDiff,threePointPctDiff,freeThrowPctDiff,reboundsTotalDiff,offensiveReboundsDiff,defensiveReboundsDiff,turnoversDiff,assistsDiff,stealsDiff,blocksDiff,benchPointsDiff,fastBreakPointsDiff,paintPointsDiff,secondChancePointsDiff,seasonWinPctDiff",Expanded rolling features,0.6643835616438356,0.676923076923077,0.7364016736401674,0.7054108216432866,0.7134627110447636,115,84,63,176,2026-04-28 12:54:29,1751,438,26
XGBoost,"netRatingDiff,b2bDiff,closeGame,netRating_b2b,offRatingDiff,defRatingDiff,restDiff,netRating_rest,absNetRatingDiff,absRating_b2b,close_b2b,fieldGoalPctDiff,threePointPctDiff,freeThrowPctDiff,reboundsTotalDiff,offensiveReboundsDiff,defensiveReboundsDiff,turnoversDiff,assistsDiff,stealsDiff,blocksDiff,benchPointsDiff,fastBreakPointsDiff,paintPointsDiff,secondChancePointsDiff,seasonWinPctDiff",Expanded rolling features,0.6461187214611872,0.6532846715328468,0.7489539748953975,0.6978557504873294,0.6929627215575788,104,95,60,179,2026-04-28 12:54:29,1751,438,26
Soft Voting Ensemble,"netRatingDiff,b2bDiff,closeGame,netRating_b2b,offRatingDiff,defRatingDiff,restDiff,netRating_rest,absNetRatingDiff,absRating_b2b,close_b2b,fieldGoalPctDiff,threePointPctDiff,freeThrowPctDiff,reboundsTotalDiff,offensiveReboundsDiff,defensiveReboundsDiff,turnoversDiff,assistsDiff,stealsDiff,blocksDiff,benchPointsDiff,fastBreakPointsDiff,paintPointsDiff,secondChancePointsDiff,seasonWinPctDiff",Expanded rolling features,0.6643835616438356,0.6666666666666666,0.7698744769874477,0.7145631067961165,0.7146821975988731,107,92,55,184,2026-04-28 12:54:29,1751,438,26
