timestamp,model,features,notes,feature,importance
2026-04-28 09:46:20,Random Forest,"netRatingDiff,b2bDiff,closeGame,netRating_b2b,offRatingDiff,defRatingDiff,restDiff,netRating_rest,absNetRatingDiff,absRating_b2b,close_b2b,fieldGoalPctDiff,threePointPctDiff,freeThrowPctDiff,reboundsTotalDiff,offensiveReboundsDiff,defensiveReboundsDiff,turnoversDiff,assistsDiff,stealsDiff,blocksDiff,benchPointsDiff,fastBreakPointsDiff,paintPointsDiff,secondChancePointsDiff,seasonWinPctDiff",Expanded rolling features,netRatingDiff,0.10379006473792672
2026-04-28 09:46:20,Random Forest,"netRatingDiff,b2bDiff,closeGame,netRating_b2b,offRatingDiff,defRatingDiff,restDiff,netRating_rest,absNetRatingDiff,absRating_b2b,close_b2b,fieldGoalPctDiff,threePointPctDiff,freeThrowPctDiff,reboundsTotalDiff,offensiveReboundsDiff,defensiveReboundsDiff,turnoversDiff,assistsDiff,stealsDiff,blocksDiff,benchPointsDiff,fastBreakPointsDiff,paintPointsDiff,secondChancePointsDiff,seasonWinPctDiff",Expanded rolling features,seasonWinPctDiff,0.10125104383624993
2026-04-28 09:46:20,Random Forest,"netRatingDiff,b2bDiff,closeGame,netRating_b2b,offRatingDiff,defRatingDiff,restDiff,netRating_rest,absNetRatingDiff,absRating_b2b,close_b2b,fieldGoalPctDiff,threePointPctDiff,freeThrowPctDiff,reboundsTotalDiff,offensiveReboundsDiff,defensiveReboundsDiff,turnoversDiff,assistsDiff,stealsDiff,blocksDiff,benchPointsDiff,fastBreakPointsDiff,paintPointsDiff,secondChancePointsDiff,seasonWinPctDiff",Expanded rolling features,defRatingDiff,0.0700784395630339
2026-04-28 09:46:20,Random Forest,"netRatingDiff,b2bDiff,closeGame,netRating_b2b,offRatingDiff,defRatingDiff,restDiff,netRating_rest,absNetRatingDiff,absRating_b2b,close_b2b,fieldGoalPctDiff,threePointPctDiff,freeThrowPctDiff,reboundsTotalDiff,offensiveReboundsDiff,defensiveReboundsDiff,turnoversDiff,assistsDiff,stealsDiff,blocksDiff,benchPointsDiff,fastBreakPointsDiff,paintPointsDiff,secondChancePointsDiff,seasonWinPctDiff",Expanded rolling features,offRatingDiff,0.0678347619618791
2026-04-28 09:46:20,Random Forest,"netRatingDiff,b2bDiff,closeGame,netRating_b2b,offRatingDiff,defRatingDiff,restDiff,netRating_rest,absNetRatingDiff,absRating_b2b,close_b2b,fieldGoalPctDiff,threePointPctDiff,freeThrowPctDiff,reboundsTotalDiff,offensiveReboundsDiff,defensiveReboundsDiff,turnoversDiff,assistsDiff,stealsDiff,blocksDiff,benchPointsDiff,fastBreakPointsDiff,paintPointsDiff,secondChancePointsDiff,seasonWinPctDiff",Expanded rolling features,fieldGoalPctDiff,0.05359428919112396
2026-04-28 09:46:20,Random Forest,"netRatingDiff,b2bDiff,closeGame,netRating_b2b,offRatingDiff,defRatingDiff,restDiff,netRating_rest,absNetRatingDiff,absRating_b2b,close_b2b,fieldGoalPctDiff,threePointPctDiff,freeThrowPctDiff,reboundsTotalDiff,offensiveReboundsDiff,defensiveReboundsDiff,turnoversDiff,assistsDiff,stealsDiff,blocksDiff,benchPointsDiff,fastBreakPointsDiff,paintPointsDiff,secondChancePointsDiff,seasonWinPctDiff",Expanded rolling features,absNetRatingDiff,0.05260151368722549
2026-04-28 09:46:20,Random Forest,"netRatingDiff,b2bDiff,closeGame,netRating_b2b,offRatingDiff,defRatingDiff,restDiff,netRating_rest,absNetRatingDiff,absRating_b2b,close_b2b,fieldGoalPctDiff,threePointPctDiff,freeThrowPctDiff,reboundsTotalDiff,offensiveReboundsDiff,defensiveReboundsDiff,turnoversDiff,assistsDiff,stealsDiff,blocksDiff,benchPointsDiff,fastBreakPointsDiff,paintPointsDiff,secondChancePointsDiff,seasonWinPctDiff",Expanded rolling features,benchPointsDiff,0.04486288737507036
2026-04-28 09:46:20,Random Forest,"netRatingDiff,b2bDiff,closeGame,netRating_b2b,offRatingDiff,defRatingDiff,restDiff,netRating_rest,absNetRatingDiff,absRating_b2b,close_b2b,fieldGoalPctDiff,threePointPctDiff,freeThrowPctDiff,reboundsTotalDiff,offensiveReboundsDiff,defensiveReboundsDiff,turnoversDiff,assistsDiff,stealsDiff,blocksDiff,benchPointsDiff,fastBreakPointsDiff,paintPointsDiff,secondChancePointsDiff,seasonWinPctDiff",Expanded rolling features,turnoversDiff,0.04355686437506012
2026-04-28 09:46:20,Random Forest,"netRatingDiff,b2bDiff,closeGame,netRating_b2b,offRatingDiff,defRatingDiff,restDiff,netRating_rest,absNetRatingDiff,absRating_b2b,close_b2b,fieldGoalPctDiff,threePointPctDiff,freeThrowPctDiff,reboundsTotalDiff,offensiveReboundsDiff,defensiveReboundsDiff,turnoversDiff,assistsDiff,stealsDiff,blocksDiff,benchPointsDiff,fastBreakPointsDiff,paintPointsDiff,secondChancePointsDiff,seasonWinPctDiff",Expanded rolling features,freeThrowPctDiff,0.04022655752400525
2026-04-28 09:46:20,Random Forest,"netRatingDiff,b2bDiff,closeGame,netRating_b2b,offRatingDiff,defRatingDiff,restDiff,netRating_rest,absNetRatingDiff,absRating_b2b,close_b2b,fieldGoalPctDiff,threePointPctDiff,freeThrowPctDiff,reboundsTotalDiff,offensiveReboundsDiff,defensiveReboundsDiff,turnoversDiff,assistsDiff,stealsDiff,blocksDiff,benchPointsDiff,fastBreakPointsDiff,paintPointsDiff,secondChancePointsDiff,seasonWinPctDiff",Expanded rolling features,assistsDiff,0.03931068138011166
