model,features,notes,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,timestamp,train_size,test_size,num_features,selection_type,subset_name,selected_features,removed_feature
Logistic Regression,"netRatingDiff,seasonWinPctDiff,absNetRatingDiff,defRatingDiff",feature selection - top_4,0.6621004566210046,0.6666666666666666,0.7615062761506276,0.7109375,0.7278021908706713,108,91,57,182,2026-04-28 19:08:00,1751,438,4,ranked_subset,top_4,"netRatingDiff,seasonWinPctDiff,absNetRatingDiff,defRatingDiff",
Random Forest,"netRatingDiff,seasonWinPctDiff,absNetRatingDiff,defRatingDiff",feature selection - top_4,0.6187214611872146,0.652542372881356,0.6443514644351465,0.6484210526315789,0.6891781081137907,117,82,85,154,2026-04-28 19:08:00,1751,438,4,ranked_subset,top_4,"netRatingDiff,seasonWinPctDiff,absNetRatingDiff,defRatingDiff",
XGBoost,"netRatingDiff,seasonWinPctDiff,absNetRatingDiff,defRatingDiff",feature selection - top_4,0.6598173515981736,0.6666666666666666,0.7531380753138075,0.7072691552062869,0.7098147641975568,109,90,59,180,2026-04-28 19:08:00,1751,438,4,ranked_subset,top_4,"netRatingDiff,seasonWinPctDiff,absNetRatingDiff,defRatingDiff",
Soft Voting Ensemble,"netRatingDiff,seasonWinPctDiff,absNetRatingDiff,defRatingDiff",feature selection - top_4,0.6621004566210046,0.6743295019157088,0.7364016736401674,0.704,0.7184037341519312,114,85,63,176,2026-04-28 19:08:00,1751,438,4,ranked_subset,top_4,"netRatingDiff,seasonWinPctDiff,absNetRatingDiff,defRatingDiff",
Logistic Regression,"netRatingDiff,seasonWinPctDiff,absNetRatingDiff,defRatingDiff,offRatingDiff,fieldGoalPctDiff",feature selection - top_6,0.6689497716894978,0.6727941176470589,0.7656903765690377,0.7162426614481409,0.7269821912911839,110,89,56,183,2026-04-28 19:08:00,1751,438,6,ranked_subset,top_6,"netRatingDiff,seasonWinPctDiff,absNetRatingDiff,defRatingDiff,offRatingDiff,fieldGoalPctDiff",
Random Forest,"netRatingDiff,seasonWinPctDiff,absNetRatingDiff,defRatingDiff,offRatingDiff,fieldGoalPctDiff",feature selection - top_6,0.6484018264840182,0.6778242677824268,0.6778242677824268,0.6778242677824268,0.6970837450852589,122,77,77,162,2026-04-28 19:08:00,1751,438,6,ranked_subset,top_6,"netRatingDiff,seasonWinPctDiff,absNetRatingDiff,defRatingDiff,offRatingDiff,fieldGoalPctDiff",
XGBoost,"netRatingDiff,seasonWinPctDiff,absNetRatingDiff,defRatingDiff,offRatingDiff,fieldGoalPctDiff",feature selection - top_6,0.6575342465753424,0.6642066420664207,0.7531380753138075,0.7058823529411765,0.7061457917201068,108,91,59,180,2026-04-28 19:08:00,1751,438,6,ranked_subset,top_6,"netRatingDiff,seasonWinPctDiff,absNetRatingDiff,defRatingDiff,offRatingDiff,fieldGoalPctDiff",
Soft Voting Ensemble,"netRatingDiff,seasonWinPctDiff,absNetRatingDiff,defRatingDiff,offRatingDiff,fieldGoalPctDiff",feature selection - top_6,0.6529680365296804,0.6641509433962264,0.7364016736401674,0.6984126984126984,0.7189083492777696,110,89,63,176,2026-04-28 19:08:00,1751,438,6,ranked_subset,top_6,"netRatingDiff,seasonWinPctDiff,absNetRatingDiff,defRatingDiff,offRatingDiff,fieldGoalPctDiff",
Logistic Regression,"netRatingDiff,seasonWinPctDiff,absNetRatingDiff,defRatingDiff,offRatingDiff,fieldGoalPctDiff,benchPointsDiff,turnoversDiff",feature selection - top_8,0.684931506849315,0.684981684981685,0.7824267782426778,0.73046875,0.7364226992704107,113,86,52,187,2026-04-28 19:08:02,1751,438,8,ranked_subset,top_8,"netRatingDiff,seasonWinPctDiff,absNetRatingDiff,defRatingDiff,offRatingDiff,fieldGoalPctDiff,benchPointsDiff,turnoversDiff",
Random Forest,"netRatingDiff,seasonWinPctDiff,absNetRatingDiff,defRatingDiff,offRatingDiff,fieldGoalPctDiff,benchPointsDiff,turnoversDiff",feature selection - top_8,0.680365296803653,0.6972111553784861,0.7322175732217573,0.7142857142857143,0.7246903975946679,123,76,64,175,2026-04-28 19:08:02,1751,438,8,ranked_subset,top_8,"netRatingDiff,seasonWinPctDiff,absNetRatingDiff,defRatingDiff,offRatingDiff,fieldGoalPctDiff,benchPointsDiff,turnoversDiff",
