model,features,num_features,roc_auc,f1,accuracy,precision,recall
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,netRatingDiff,netRating_b2b,offRatingDiff,restDiff",7,0.69586573804568,0.7278939911659305,0.6518076143755999,0.6607656226357996,0.810204081632653
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,defRatingDiff,netRatingDiff,netRating_b2b,restDiff",7,0.6958638767087655,0.7276971819242954,0.6517009704596353,0.6608116293155664,0.809647495361781
Logistic Regression,"absNetRatingDiff,b2bDiff,defRatingDiff,netRatingDiff,restDiff",5,0.6958635044413826,0.728151295509456,0.6520209022075291,0.660819597761984,0.8107606679035251
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,defRatingDiff,netRatingDiff,restDiff",6,0.6958627133731938,0.7276971819242954,0.6517009704596353,0.6608116293155664,0.809647495361781
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,netRatingDiff,netRating_b2b,offRatingDiff",6,0.6958622015055425,0.7278032513547311,0.6518076143755999,0.6608629825889477,0.8098330241187384
Logistic Regression,"absNetRatingDiff,b2bDiff,defRatingDiff,netRatingDiff,netRating_b2b,restDiff",6,0.695860945103125,0.728,0.6519142582915645,0.6608169440242058,0.8103896103896104
Logistic Regression,"absNetRatingDiff,b2bDiff,defRatingDiff,netRatingDiff,offRatingDiff,restDiff",6,0.6958598748343992,0.728151295509456,0.6520209022075291,0.660819597761984,0.8107606679035251
Logistic Regression,"absNetRatingDiff,b2bDiff,defRatingDiff,netRatingDiff,netRating_b2b,offRatingDiff,restDiff",7,0.6958597352341306,0.7278939911659305,0.6518076143755999,0.6607656226357996,0.810204081632653
Logistic Regression,"absNetRatingDiff,b2bDiff,defRatingDiff,netRatingDiff",4,0.6958587114988277,0.7280453257790368,0.6519142582915645,0.660768300060496,0.8105751391465678
Logistic Regression,"absNetRatingDiff,b2bDiff,defRatingDiff,netRatingDiff,offRatingDiff",5,0.6958579669640617,0.7280453257790368,0.6519142582915645,0.660768300060496,0.8105751391465678
