model,features,notes,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,timestamp,train_size,test_size,num_features
Baseline 1 - Always Home Team,"netRatingDiff,b2bDiff,closeGame,netRating_b2b",Base features,0.545662100456621,0.545662100456621,1.0,0.7060561299852289,0.5,0,199,0,239,2026-04-28 11:03:57,1751,438,4
Baseline 2 - Weighted Random,"netRatingDiff,b2bDiff,closeGame,netRating_b2b",Base features,0.4680365296803653,0.5128205128205128,0.502092050209205,0.507399577167019,0.5,85,114,119,120,2026-04-28 11:03:57,1751,438,4
Logistic Regression,"netRatingDiff,b2bDiff,closeGame,netRating_b2b",Base features,0.6415525114155252,0.6553030303030303,0.7238493723849372,0.6878727634194831,0.6816719581169446,108,91,66,173,2026-04-28 11:03:57,1751,438,4
Random Forest,"netRatingDiff,b2bDiff,closeGame,netRating_b2b",Base features,0.6004566210045662,0.634453781512605,0.6317991631799164,0.6331236897274634,0.6546119719938606,112,87,88,151,2026-04-28 11:03:57,1751,438,4
XGBoost,"netRatingDiff,b2bDiff,closeGame,netRating_b2b",Base features,0.6301369863013698,0.6452830188679245,0.7154811715481172,0.6785714285714286,0.6745652950947205,105,94,68,171,2026-04-28 11:03:57,1751,438,4
Soft Voting Ensemble,"netRatingDiff,b2bDiff,closeGame,netRating_b2b",Base features,0.6210045662100456,0.6465863453815262,0.6736401673640168,0.6598360655737705,0.6734088854313408,111,88,78,161,2026-04-28 11:03:57,1751,438,4
Logistic Regression,"netRatingDiff,seasonWinPctDiff,absNetRatingDiff,defRatingDiff,fieldGoalPctDiff,benchPointsDiff,turnoversDiff,assistsDiff,freeThrowPctDiff",Expanded rolling features,0.678082191780822,0.6801470588235294,0.7740585774058577,0.7240704500978473,0.7375160320430605,112,87,54,185,2026-04-28 11:03:57,1751,438,9
Random Forest,"netRatingDiff,seasonWinPctDiff,absNetRatingDiff,defRatingDiff,fieldGoalPctDiff,benchPointsDiff,turnoversDiff,assistsDiff,freeThrowPctDiff",Expanded rolling features,0.678082191780822,0.7008196721311475,0.7154811715481172,0.7080745341614907,0.7403755177561446,126,73,68,171,2026-04-28 11:03:57,1751,438,9
XGBoost,"netRatingDiff,seasonWinPctDiff,absNetRatingDiff,defRatingDiff,fieldGoalPctDiff,benchPointsDiff,turnoversDiff,assistsDiff,freeThrowPctDiff",Expanded rolling features,0.6643835616438356,0.6716417910447762,0.7531380753138075,0.7100591715976331,0.7129580959189251,111,88,59,180,2026-04-28 11:03:57,1751,438,9
Soft Voting Ensemble,"netRatingDiff,seasonWinPctDiff,absNetRatingDiff,defRatingDiff,fieldGoalPctDiff,benchPointsDiff,turnoversDiff,assistsDiff,freeThrowPctDiff",Expanded rolling features,0.6963470319634704,0.6992481203007519,0.7782426778242678,0.7366336633663366,0.7373688526313577,119,80,53,186,2026-04-28 11:03:57,1751,438,9
